Sender,Sender_ID,ProductionDate,DeliveryDate,ArrivalDate,Load_Port,LoadPort_Term,Disch_Port,DischPort_Term,Units,Cargo_Segment,BrandName,Model,L_m,Width_m,Height_m,Weight,CBM,Booking,GateIn,CreatedBy,Ref
Kia Customer,CYAQRS3M5O,2025-02-18,2024-01-10,2024-01-10,Mumbai,Terminal-3,Antwerp,Terminal-1,3,Car,Kia,Carens,4.7,1.48,1.48,,,BKG-726830,,system,RY9Y5EDM22
Kia Customer,CK2MLFDTLT,2024-07-03,2025-06-19,2025-06-19,Nhava Sheva,Terminal-5,Singapore,Terminal-5,4,SUV,Kia,Carens,,,,,,BKG-389515,,system,R2KJ04Y16N
Kia Customer,CLOHTHJZAF,2025-04-24,,2025-04-24,Chennai,Nhava Sheva,Antwerp,Terminal-3,4,LCV,Kia,Carens,3.56,1.43,1.43,1574,,BKG-900991,,user_a,R037ODN65S
Kia Customer,CULZ6WKKMY,2025-08-13,,2025-08-13,Nhava Sheva,Mumbai,Jebel Ali,Singapore,4,LCV,Kia,Seltos,3.74,1.77,1.77,1738,,BKG-759259,2025-12-29 12:50,system,RGU65M7AA6
Kia Customer,CMS126I93C,,2024-01-24,2024-01-24,Chennai,Mundra,Durban,Durban,4,LCV,Kia,Seltos,,,,2016,11.5,BKG-534938,2024-11-11 07:33,system,R3V3CZBSQ5
Kia Customer,CXOQHOJ8QD,2025-01-27,2025-12-31,2025-12-31,Mundra,Terminal-2,Jebel Ali,Colombo,4,LCV,Kia,Seltos,,,,1991,11.85,BKG-028769,2024-09-04 13:19,system,RPFQNRH1C5
Kia Customer,CC3VLY26Y7,,2024-01-27,2024-01-27,Nhava Sheva,Mundra,Jebel Ali,Terminal-5,4,SUV,Kia,Carens,,,,1176,13.91,BKG-430294,2024-12-18 03:56,user_a,RJ52T2PM31
Kia Customer,C1M3A2V818,,2025-04-10,2025-04-10,Chennai,Nhava Sheva,Antwerp,Colombo,3,LCV,Kia,Sonet,,,,1670,10.67,BKG-910543,,user_a,RM5ZV9Z8CU
Kia Customer,CC51SJ92IE,2024-05-30,2025-06-15,2025-06-15,Nhava Sheva,Mundra,Antwerp,Terminal-2,3,Car,Kia,Sonet,4.81,1.62,1.62,1491,,BKG-187850,,user_b,R0WZUWTQH6
Kia Customer,CEQQR7D6E5,,2025-04-21,2025-04-21,Chennai,Nhava Sheva,Jebel Ali,Terminal-1,2,LCV,Kia,Seltos,,,,,,BKG-540062,2025-12-08 03:25,user_a,R5ZPLYO0SU
Kia Customer,CWERX6TP9Q,,2025-08-06,2025-08-06,Nhava Sheva,Mumbai,Antwerp,Antwerp,3,SUV,Kia,Carens,4.88,1.77,1.77,,,BKG-635613,2025-05-29 01:01,user_a,R1IPJJ9R51
Kia Customer,CEUDDVA3PQ,,,,Nhava Sheva,Terminal-1,Jebel Ali,Antwerp,4,SUV,Kia,Carens,,,,,,BKG-351813,2024-08-16 11:15,user_b,R7083DDMKO
Kia Customer,CZRMT0NHB6,,2024-08-26,2024-08-26,Chennai,Nhava Sheva,Colombo,Jebel Ali,4,LCV,Kia,Seltos,4.39,1.69,1.69,1633,,BKG-569252,,user_b,RLLU5BO812
